Osmocom TAC database under CC-BY-SA v3.0 (c) Harald Welte 2016,
tac,model,model2
35730500,SGH-X460
35730600,SGH-i300
35732100,SGH-X495
35732900,SGH-E680V
35736200,SGH-T309
35746900,SGH-Z510
35747000,S400i
35747400,SGH-C120
35752300,SGH-X810
35753400,SGH-X660
35771500,SGH-X200
35773800,SGH-E330
35774600,SGH-E360
35776900,SGH-Z310
35777000,SGH-X150
35781200,SGH-D800
35783500,SGH-T309
35790800,SGH-P300
35797800,X640
35799100,SGH-E770
35799300,SGH-X660
35799400,SGH-X660
35799500,SGH-X660
35806100,SGH-D500
35806600,E530
35806700,SGH-E910
35807300,SGH-X660
35819100,SGH-E730
35822300,SGH-D600
35822400,SGH-D600
35822500,SGH-T809
35833200,SGH-X670
35842900,SGH-X150
35844500,SGH-X300
35853200,SGH-X200
35854200,X640
35854300,SGH-Z300
35857300,SGH-P850
35863600,SGH-X650
35894800,SGH-E780
35901500,SGH-D520
35901701,SGH-i300
35903500,SGH-E370
35911200,SGH-X200
35914100,SGH-D528
35914700,SGH-E879
35916800,SGH-X656
35927600,D600
35927700,SGH-D600
35927800,SGH-D600
35927900,SGH-E350
35928000,SGH-E350E
35928100,SGH-X200
35930800,SGH-X820
35932000,SGH-Z710
35965100,SGH-X680
35968000,SGH-D840
35977900,SGH-X500
35978100,SGH-Z400
35978200,SGH-X160
35978400,SGH-X210
35984100,SGH-Z400V
35988200,SGH-E900
35989400,SGH-E380
35993700,SGH-D500
35993900,SGH-X640
35994100,SGH-i320
35994200,SGH-Z560
35996900,SGH-Z540V
35565801,SGH-L760
44796700,SGH 400
44796789,SGH-A400
44831500,SGH-600
44831526,SGH-N600
44831527,SGH-N600
44831589,SGH-N600
44831590,SGH-N600
44831591,SGH-N600
44831592,SGH-N600
44831593,SGH-N600
44831594,SGH-N600
44831595,SGH-N600
44846400,SGH-550
44846500,SGH-500
44846589,SGH-500
44866300,SGH-600C
44866389,SGH-600C
44866390,SGH-600C
44866391,SGH-600C
44911500,SGH-2100P
44911600,SGH-600E
44911700,SGH-800
44911789,SGH-800
44914100,SGH-2100C
44916200,SGH-810
44916252,SGH-810
44916289,SGH-810
44917800,SGH-2400
44917826,SGH-2400
44917880,SGH-2400
44917889,SGH-2400
44917890,SGH-2400
44917891,SGH-2400
44917892,SGH-2400
44917893,SGH-2400
44917900,SGH-2100
44917989,SGH-2100
44932000,SGH-2488
44932089,SGH-2488
44969500,SGH-800C
44969589,SGH-800C
44969800,SGH-601C
44972600,SGH-2100
44972689,SGH-2100
50000100,SGH-1840
52001400,SGH-2200
52001489,SGH-2200
52001490,SGH-2200
52002800,SGH-2300
52002801,SGH-2300
52002802,SGH-2300
52002889,SGH-2300
52002890,SGH-A100
52002898,SGH-2300
52002899,SGH-2300
52004400,SGH-2200C
52025400,SGH-A110
52025499,SGH-A110
52025500,SGH-A188
52025599,SGH-A188
52026000,SGH-M110
